,Movie_name,ID,Rating,CoverPic,Generic,Year,path
0,Meri Pyaari Bindu , 5472374,5.7,https://ia.media-imdb.com/images/M/MV5BMjQ5NzgwMzExNF5BMl5BanBnXkFtZTgwNjk2NTYyNTM@.jpg,"['Comedy', 'Drama', 'Romance']",2017,/media/putus/12EA5AFBEA5ADA95/english/[ Jappstube ] Meri Pyaari Bindu (2017) Hindi DVDRip.mp4
1,The Lion King - HD , 0110357,8.5,https://ia.media-imdb.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@.jpg,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",1994,/media/putus/12EA5AFBEA5ADA95/english/[fmovies.to] The Lion King - HD 720p.mp4
2,Power Rangers , 3717490,6.0,https://ia.media-imdb.com/images/M/MV5BMTU1MTkxNzc5NF5BMl5BanBnXkFtZTgwOTM2Mzk3MTI@.jpg,"['Action', 'Adventure', 'Sci-Fi']",2017,/media/putus/12EA5AFBEA5ADA95/english/Power.Rangers.2017.720p.BRRip.MkvCage.mkv
3,Rakshadhikari Baiju Oppu , 6576288,7.3,https://ia.media-imdb.com/images/M/MV5BMzllYzMzN2UtYzQ4YS00MDU4LTk3NTAtMTAyNzc5MGIxOGRmXkEyXkFqcGdeQXVyNzYzMDI0OTY@.jpg,"['Comedy', 'Drama']",2017,/media/putus/12EA5AFBEA5ADA95/english/Rakshadhikari Baiju Oppu (2017) Malayalam 1080p DVDRip x264 DTS 4GB ESubs.mkv
4,Summer in Bethlehem , 0274114,7.8,https://ia.media-imdb.com/images/M/MV5BMWM3OWZiMmUtNTdmYi00NWVhLTg5ZDgtMGQ4NjZiMmQ4MGIzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@.jpg,"['Comedy', 'Drama']",1998,/media/putus/12EA5AFBEA5ADA95/english/Summer in Bethlehem (1998).mp4
5,Game of Thrones , 0944947,9.5,https://ia.media-imdb.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2011,/media/putus/12EA5AFBEA5ADA95/english/Game.of.Thrones.S07E01.1080p.WEB-DL.6CH.x264-[My-Film].mkv
6,Game of Thrones , 0944947,9.5,https://ia.media-imdb.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2011,/media/putus/12EA5AFBEA5ADA95/english/Game.of.Thrones.S07E03.The.Queens.Justice.1080p.AMZN.WEB-DL.6CH.MkvCage.mkv
7,Game of Thrones , 0944947,9.5,https://ia.media-imdb.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2011,/media/putus/12EA5AFBEA5ADA95/english/Game.of.Thrones.S07E04.1080p.WEB-DL.6CH.x264-[My-Film].mkv
8,Game of Thrones , 0944947,9.5,https://ia.media-imdb.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2011,/media/putus/12EA5AFBEA5ADA95/english/Game.of.Thrones.S07E05.Eastwatch.1080p.AMZN.WEB-DL.6CH.MkvCage.mkv
9,Me Before You , 2674426,7.4,https://ia.media-imdb.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@.jpg,"['Drama', 'Romance']",2016,/media/putus/12EA5AFBEA5ADA95/english/Me Before You (2016) [YTS.AG]/Me.Before.You.2016.720p.BluRay.x264-[YTS.AG].mp4
10,$R , 1434443,7.1,https://ia.media-imdb.com/images/M/MV5BMTM3NDE0ODg0OF5BMl5BanBnXkFtZTcwNDE5NDk1NQ@@.jpg,"['Crime', 'Drama']",2010,/media/putus/12EA5AFBEA5ADA95/$RECYCLE.BIN/S-1-5-21-257362021-807853694-25806658-1000/$R1JJ1XR.mkv
11,Rekka , 6126312,5.0,https://ia.media-imdb.com/images/M/MV5BMDMyOTFkNzMtY2JjMi00ZjAxLTliZjYtYjViZGU1NjZlNTYyXkEyXkFqcGdeQXVyNjgyOTU0ODU@.jpg,['Action'],2016,/media/putus/12EA5AFBEA5ADA95/$RECYCLE.BIN/S-1-5-21-257362021-807853694-25806658-1000/$ROYCKNC/Rekka [2016][Tamil]HD@IndianMoviez.mkv
